Constituency Name,Winner Party,Winner Votes,Runner Party,Runner Votes,Total Votes Polled,Win Alliance
Gummidipoondi,DMK,126452,PMK,75514,222069,DMK+
Ponneri,INC,94528,ADMK,84839,210354,DMK+
Tiruttani,DMK,120314,ADMK,91061,232624,DMK+
Thiruvallur,DMK,107709,ADMK,85008,214243,DMK+
Poonamallee,DMK,149578,PMK,55468,263736,DMK+
Avadi,DMK,150287,ADMK,95012,300927,DMK+
Maduravoyal,DMK,121298,ADMK,89577,273870,DMK+
Ambattur,DMK,114554,ADMK,72408,240299,DMK+
Madavaram,DMK,151485,ADMK,94414,302700,DMK+
Thiruvottiyur,DMK,88185,ADMK,50524,199996,DMK+
Dr.Radhakrishnan Nagar,DMK,95763,ADMK,53284,187027,DMK+
Perambur,DMK,105267,ADMK,50291,200387,DMK+
Kolathur,DMK,105522,ADMK,35138,173388,DMK+
Villivakkam,DMK,76127,ADMK,38890,144092,DMK+
Thiru-Vi-Ka-Nagar,DMK,81727,ADMK,26714,133696,DMK+
Egmore,DMK,68832,ADMK,30064,119271,DMK+
Royapuram,DMK,64424,ADMK,36645,121191,DMK+
Harbour,DMK,59317,BJP,32043,101650,DMK+
Chepauk-Thiruvallikeni,DMK,93285,PMK,23930,137405,DMK+
Thousand Lights,DMK,71867,BJP,39405,135940,DMK+
Anna Nagar,DMK,80054,ADMK,52609,165096,DMK+
Virugampakkam,DMK,74351,ADMK,55984,169087,DMK+
Saidapet,DMK,80194,ADMK,50786,160327,DMK+
Thiyagarayanagar,DMK,56035,ADMK,55898,138114,DMK+
Mylapore,DMK,68392,ADMK,55759,153430,DMK+
Velachery,INC,68493,ADMK,64141,176714,DMK+
Shozhinganallur,DMK,171558,ADMK,136153,388355,DMK+
Alandur,DMK,116785,ADMK,76214,237751,DMK+
Sriperumbudur,INC,115353,ADMK,104474,264262,DMK+
Pallavaram,DMK,126427,ADMK,88644,266190,DMK+
Tambaram,DMK,116840,ADMK,80016,248968,DMK+
Chengalpattu,DMK,130573,ADMK,103908,274087,DMK+
Thiruporur,VCK,93954,PMK,92007,226729,DMK+
Cheyyur,VCK,82750,ADMK,78708,179120,DMK+
Madurantakam,ADMK,86646,DMK,83076,185842,DMK+
Uthiramerur,DMK,93427,ADMK,91805,210529,DMK+
Kancheepuram,DMK,102712,PMK,91117,229430,DMK+
Arakkonam,ADMK,85399,VCK,58230,171412,DMK+
Sholinghur,INC,110228,PMK,83530,224109,DMK+
Katpadi,DMK,85140,ADMK,84394,186246,DMK+
Ranipet,DMK,103291,ADMK,86793,207462,DMK+
Arcot,DMK,103885,PMK,83927,209791,DMK+
Vellore,DMK,84299,ADMK,75118,179899,DMK+
Anaikattu,DMK,95159,ADMK,88799,197805,DMK+
Kilvaithinankuppam,ADMK,84579,DMK,73997,174124,DMK+
Gudiyattam,DMK,100412,ADMK,93511,211630,DMK+
Vaniyambadi,ADMK,88018,IUML,83114,189997,DMK+
Ambur,DMK,90476,ADMK,70244,177878,DMK+
Jolarpet,DMK,89490,ADMK,88399,196358,DMK+
Tirupattur,DMK,96522,PMK,68282,185930,DMK+
Uthangarai,ADMK,99675,INC,71288,188223,DMK+
Bargur,DMK,97256,ADMK,84642,197784,DMK+
Krishnagiri,ADMK,96050,DMK,95256,211648,DMK+
Veppanahalli,ADMK,94104,DMK,91050,205141,DMK+
Hosur,DMK,118231,ADMK,105864,248098,DMK+
